policyID,county,hu_site_limit,fr_site_limit,tiv_2012,hu_site_deductible
119736,CLAY COUNTY,498960,498960,792148.9,9979.2,
206893,CLAY COUNTY,190724.4,190724.4,192476.78,0,
172534,CLAY COUNTY,254281.5,254281.5,246144.49,0,
995932,CLAY COUNTY,19260000,0,20610000,0,
433512,CLAY COUNTY,315000,315000,265821.57,15750,
253816,CLAY COUNTY,831498.3,831498.3,1117791.48,0,
422834,CLAY COUNTY,48115.94,0,66755.39,0,
842700,CLAY COUNTY,56135.64,0,50656.8,0,
580146,CLAY COUNTY,48115.94,0,66938.9,0,
767862,CLAY COUNTY,48115.94,0,73798.5,0,
367814,CLAY COUNTY,28869.12,0,42727.74,0,
772887,CLAY COUNTY,1669113.93,0,2099127.76,0,
934215,CLAY COUNTY,177744.16,0,157171.16,0,
716332,CLAY COUNTY,130129.87,0,101758.43,0,
633663,CLAY COUNTY,785.58,0,662.18,0,
710400,CLAY COUNTY,1430.89,0,1861.41,0,
352792,CLAY COUNTY,366285.62,0,507164.19,0,
937659,SUWANNEE COUNTY,9246.6,9246.6,10880.22,0,
410500,SUWANNEE COUNTY,11095.92,0,12737.89,0,
779298,SUWANNEE COUNTY,1400904,1400904,1772984.1,0,
814637,SUWANNEE COUNTY,4365,4365,6095.72,87.3,
222653,SUWANNEE COUNTY,24867,24867,18969.79,0,
691681,SUWANNEE COUNTY,69435,69435,93674.34,1388.7,
174002,SUWANNEE COUNTY,165546,165546,239134.51,0,
831395,SUWANNEE COUNTY,72837,72837,98147.86,0,
515722,SUWANNEE COUNTY,9945,9945,11551.12,198.9,
783533,SUWANNEE COUNTY,153527.17,0,138228.8,0,
403866,SUWANNEE COUNTY,102351.45,0,95132.8,0,
751490,SUWANNEE COUNTY,137233.8,0,114919.58,0,
367541,SUWANNEE COUNTY,107111.11,0,88218.85,0,
920232,NASSAU COUNTY,104031.7,0,168443.97,0,
471817,NASSAU COUNTY,272349,272349,414565.56,0,
578286,NASSAU COUNTY,123210,123210,120345.61,0,
477786,NASSAU COUNTY,2115760.5,0,3057739.39,0,
107560,NASSAU COUNTY,1037311.14,0,1487255.23,0,
356024,NASSAU COUNTY,13893.35,0,13988.5,0,
790478,NASSAU COUNTY,54834.66,0,63053.72,0,
291781,NASSAU COUNTY,723734.17,0,955908.09,0,
289305,COLUMBIA COUNTY,135450,135450,164978.1,0,
633944,COLUMBIA COUNTY,22500,22500,19501.76,0,
729649,COLUMBIA COUNTY,460128.2,0,626142.46,0,
371891,COLUMBIA COUNTY,50550.75,0,49526.38,0,
567696,COLUMBIA COUNTY,10171.26,0,16798.29,0,
447216,COLUMBIA COUNTY,3698.64,0,4424.48,0,
625575,COLUMBIA COUNTY,33287.76,0,27375.62,0,
228457,COLUMBIA COUNTY,729556.74,0,889825.76,0,
233271,COLUMBIA COUNTY,2135964.6,2135964.6,1728721.59,0,
641952,COLUMBIA COUNTY,2469639.6,2469639.6,2708463.63,0,
301822,COLUMBIA COUNTY,3042940.5,3042940.5,3181868.99,0,
224400,COLUMBIA COUNTY,912600,912600,1147247.71,0,
333818,COLUMBIA COUNTY,455754.6,455754.6,696809.59,0,
247444,COLUMBIA COUNTY,8910,8910,13521.83,0,
386918,COLUMBIA COUNTY,4500,4500,4238.41,0,
526844,COLUMBIA COUNTY,4956125.85,0,7279557.65,0,
826170,COLUMBIA COUNTY,135868.99,0,234280.26,0,
920003,COLUMBIA COUNTY,1086940.9,0,1770235.43,0,
423636,COLUMBIA COUNTY,1404900,1404900,1840643.78,42147,
227898,COLUMBIA COUNTY,67892.48,0,86628.09,0,
923627,COLUMBIA COUNTY,67892.48,0,64169.8,0,
910727,COLUMBIA COUNTY,86056.32,0,91244.65,0,
512519,COLUMBIA COUNTY,101009.36,0,98181.1,0,
835349,COLUMBIA COUNTY,67892.48,0,99945.87,0,
923503,COLUMBIA COUNTY,86056.32,0,106664.4,0,
363828,COLUMBIA COUNTY,132603.34,0,216561.94,0,
480733,COLUMBIA COUNTY,457854.5,0,345588.57,0,
934992,ST  JOHNS COUNTY,213596.46,0,190329.82,0,
747846,ST  JOHNS COUNTY,6472.62,0,9957.87,0,
574787,ST  JOHNS COUNTY,12945.24,0,19024.97,0,
968562,ST  JOHNS COUNTY,12945.24,0,16859.05,0,
290435,ST  JOHNS COUNTY,48087,48087,68008.1,0,
119823,ST  JOHNS COUNTY,128628,128628,168246.71,0,
340883,ST  JOHNS COUNTY,4968,4968,5265.92,0,
670595,ST  JOHNS COUNTY,459,459,847.36,0,
167200,ST  JOHNS COUNTY,1062,1062,1602.72,0,
846636,ST  JOHNS COUNTY,1476,1476,1935.04,0,
865452,NASSAU COUNTY,11095.92,0,11961.62,0,
878060,NASSAU COUNTY,199726.56,0,277743.75,0,
456376,NASSAU COUNTY,17568.54,0,29936.79,0,
478864,NASSAU COUNTY,724933.44,0,767347.85,0,
483983,NASSAU COUNTY,438498,0,636264.11,0,
644573,NASSAU COUNTY,669692.78,0,841130.78,0,
100658,NASSAU COUNTY,331518.28,0,464703.76,0,
760337,NASSAU COUNTY,77426.73,0,73196.13,0,
610102,NASSAU COUNTY,7532014.45,0,10710000,0,
618364,NASSAU COUNTY,121066.57,0,115414.7,0,
493030,NASSAU COUNTY,755749,0,658571.77,0,
589642,NASSAU COUNTY,615141.68,0,895926.17,0,
399079,NASSAU COUNTY,161748,161748,235301.93,0,
621379,NASSAU COUNTY,170532,170532,178465.15,0,
443319,NASSAU COUNTY,181980,181980,151151.13,5459.4,
721610,NASSAU COUNTY,192348,192348,210005.55,0,
213399,NASSAU COUNTY,198468,198468,202538.58,0,
509951,NASSAU COUNTY,200052,200052,335395.98,0,
729247,NASSAU COUNTY,207324,207324,252344.61,0,
275351,NASSAU COUNTY,212436,212436,225030.91,0,
507111,NASSAU COUNTY,218412,218412,222125,0,
827732,NASSAU COUNTY,226764,226764,303833.37,0,
175251,NASSAU COUNTY,239652,239652,178583.88,0,
476037,NASSAU COUNTY,245052,245052,306551.23,0,
743790,NASSAU COUNTY,6381518.4,6381518.4,8757880.98,0,
201980,NASSAU COUNTY,235696.5,235696.5,353171.41,0,
798806,NASSAU COUNTY,1772074.8,1772074.8,1768133.71,0,
683653,NASSAU COUNTY,20763,20763,20966.31,0,
912944,NASSAU COUNTY,582759.1,0,1020490.44,0,
219959,NASSAU COUNTY,196396.18,0,190425.74,0,
450423,NASSAU COUNTY,74091.86,0,110035.31,0,
408688,NASSAU COUNTY,796134.02,0,838972.4,0,
882441,NASSAU COUNTY,23118.64,0,23505.92,0,
313226,NASSAU COUNTY,285728.39,0,288837.12,0,
649251,NASSAU COUNTY,80915.23,0,98214.9,0,
197782,NASSAU COUNTY,1505741.49,0,2197471.6,0,
655065,NASSAU COUNTY,162952.72,0,185883.43,0,
559179,NASSAU COUNTY,1363101.75,0,1619364.87,0,
642950,NASSAU COUNTY,392231.24,0,344336.66,0,
672348,NASSAU COUNTY,168339.59,0,269983.03,0,
948580,NASSAU COUNTY,151505.63,0,185310.32,0,
561601,NASSAU COUNTY,460128.2,0,792672.06,0,
601327,COLUMBIA COUNTY,212850,212850,340143.88,0,
756585,COLUMBIA COUNTY,94284,94284,100714.17,0,
663563,COLUMBIA COUNTY,1248407.1,0,1417531.31,0,
951069,COLUMBIA COUNTY,498344.66,0,434656.21,0,
443968,BAKER COUNTY,3195.34,0,4551.39,0,
168578,CLAY COUNTY,945000,945000,750524.67,0,
902110,CLAY COUNTY,76500,76500,94517.28,0,
994565,CLAY COUNTY,11767.98,0,14137.95,0,
844642,CLAY COUNTY,35302.09,0,47059.67,0,
655128,CLAY COUNTY,7536.5,0,10216,0,
163057,CLAY COUNTY,29410.75,0,25890.52,0,
218187,CLAY COUNTY,25780.36,0,35155,0,
619053,CLAY COUNTY,15992.1,0,23431.62,0,
256801,CLAY COUNTY,13198.07,0,22117.33,0,
239669,CLAY COUNTY,13198.07,0,13200.19,0,
948187,CLAY COUNTY,9806.65,0,13926.22,0,
470539,CLAY COUNTY,68931.45,0,85159.98,0,
563971,CLAY COUNTY,27572.58,0,30033.98,0,
812504,CLAY COUNTY,9190.86,0,10540.08,0,
716513,CLAY COUNTY,19605.94,0,18479.62,0,
698982,CLAY COUNTY,9806.65,0,12391.68,0,
666076,CLAY COUNTY,11764.3,0,11058.82,0,
572929,CLAY COUNTY,13198.07,0,18039.84,0,
295930,CLAY COUNTY,6617.42,0,5824.75,0,
230536,CLAY COUNTY,8712.94,0,10813.94,0,
724639,CLAY COUNTY,57442.87,0,86664.06,0,
603370,CLAY COUNTY,3032.98,0,4916.61,0,
786954,CLAY COUNTY,9007.04,0,7864.77,0,
506364,CLAY COUNTY,652150.86,0,614169.6,0,
807442,CLAY COUNTY,91908.6,0,94516.04,0,
481294,CLAY COUNTY,64336.02,0,69354.23,0,
127739,CLAY COUNTY,13786.29,0,17192.67,0,
514471,CLAY COUNTY,18381.72,0,27269.28,0,
192068,CLAY COUNTY,43840.4,0,39041.19,0,
495339,CLAY COUNTY,413588.69,0,420116.77,0,
412775,CLAY COUNTY,22977.15,0,28403.71,0,
754919,CLAY COUNTY,27572.58,0,24486.1,0,
931429,CLAY COUNTY,91908.6,0,97127.17,0,
722334,CLAY COUNTY,27572.58,0,36234.34,0,
166536,CLAY COUNTY,212887.5,0,184477.66,0,
678786,CLAY COUNTY,635702.59,0,803088.17,0,
499389,CLAY COUNTY,638884.47,0,926230.42,0,
797586,CLAY COUNTY,6760449.39,0,6739694.81,0,
598244,CLAY COUNTY,648862.42,0,981993.57,0,
737787,CLAY COUNTY,13467.17,0,14335.1,0,
758347,CLAY COUNTY,604316.67,0,622958.63,0,
991548,CLAY COUNTY,822091.98,0,885491.72,0,
393176,CLAY COUNTY,26934.33,0,34616.01,0,
915781,CLAY COUNTY,589356.89,0,472322.4,0,
800420,CLAY COUNTY,64726.57,0,71551.34,0,
928642,CLAY COUNTY,67335.83,0,69182.52,0,
810826,CLAY COUNTY,31984.52,0,52870.8,0,
830917,CLAY COUNTY,15341.35,0,20025.98,0,
203667,CLAY COUNTY,212051.77,0,205713.96,0,
869242,CLAY COUNTY,174354.92,0,187374.87,0,
692691,CLAY COUNTY,49883.51,0,54682.3,0,
515486,CLAY COUNTY,14204.49,0,21284.3,0,
491095,CLAY COUNTY,776595.4,0,788694.76,0,
263177,CLAY COUNTY,61724.52,0,50970.62,0,
156129,CLAY COUNTY,64275.42,0,80342.73,0,
406073,BRADFORD COUNTY,106317.27,0,105384.87,0,
894206,NASSAU COUNTY,189999.9,0,291171.43,0,
500287,NASSAU COUNTY,1729530,0,2062651.31,0,
365145,NASSAU COUNTY,123995.38,0,142594.69,0,
497561,NASSAU COUNTY,38954.52,0,30813.03,0,
732075,NASSAU COUNTY,38954.52,0,44390.39,0,
790556,NASSAU COUNTY,140160.38,0,195355.54,0,
902008,NASSAU COUNTY,1138559.14,0,1124171.17,0,
997759,HAMILTON COUNTY,34212.42,0,42302.97,0,
367761,HAMILTON COUNTY,25899.23,0,35000.32,0,
122164,HAMILTON COUNTY,4084.47,0,3579.34,0,
655156,HAMILTON COUNTY,80668.21,0,70626.63,0,
207985,HAMILTON COUNTY,263169.6,0,368477.97,0,
665653,HAMILTON COUNTY,246924.56,0,419574.22,0,
981796,HAMILTON COUNTY,12996.03,0,17111.87,0,
602123,HAMILTON COUNTY,2784.86,0,4613.35,0,
238449,HAMILTON COUNTY,18419.71,0,26153.37,0,
896911,HAMILTON COUNTY,214534.66,0,252790.47,0,
710345,HAMILTON COUNTY,51130.14,0,53139.05,0,
800878,HAMILTON COUNTY,28776.92,0,32189.87,0,
